# written by /home/mroughan/Reports/Networking/Topology/Waxman/Matlab/Estimation/G.m (Matlab version 0.03)
# written on 01-Jun-2016
# 
# parameters 
#    region = unit square
# format:   s,   G(s)
 0.917,  0.635899
 0.918,  0.635602
 0.919,  0.635306
 0.920,  0.635009
 0.921,  0.634713
 0.922,  0.634417
 0.923,  0.634122
 0.924,  0.633826
 0.925,  0.633531
 0.926,  0.633236
 0.927,  0.632941
 0.928,  0.632646
 0.929,  0.632351
 0.930,  0.632057
 0.931,  0.631762
 0.932,  0.631468
 0.933,  0.631174
 0.934,  0.630881
 0.935,  0.630587
 0.936,  0.630293
 0.937,  0.630000
 0.938,  0.629707
 0.939,  0.629414
 0.940,  0.629121
 0.941,  0.628829
 0.942,  0.628536
 0.943,  0.628244
 0.944,  0.627952
 0.945,  0.627660
 0.946,  0.627369
 0.947,  0.627077
 0.948,  0.626786
 0.949,  0.626494
 0.950,  0.626203
 0.951,  0.625913
 0.952,  0.625622
 0.953,  0.625331
 0.954,  0.625041
 0.955,  0.624751
 0.956,  0.624461
 0.957,  0.624171
 0.958,  0.623881
 0.959,  0.623592
 0.960,  0.623303
 0.961,  0.623013
 0.962,  0.622724
 0.963,  0.622436
 0.964,  0.622147
 0.965,  0.621858
 0.966,  0.621570
 0.967,  0.621282
 0.968,  0.620994
 0.969,  0.620706
 0.970,  0.620419
 0.971,  0.620131
 0.972,  0.619844
 0.973,  0.619557
 0.974,  0.619270
 0.975,  0.618983
 0.976,  0.618696
 0.977,  0.618410
 0.978,  0.618124
 0.979,  0.617838
 0.980,  0.617552
 0.981,  0.617266
 0.982,  0.616980
 0.983,  0.616695
 0.984,  0.616410
 0.985,  0.616125
 0.986,  0.615840
 0.987,  0.615555
 0.988,  0.615270
 0.989,  0.614986
 0.990,  0.614702
 0.991,  0.614417
 0.992,  0.614133
 0.993,  0.613850
 0.994,  0.613566
 0.995,  0.613283
 0.996,  0.612999
 0.997,  0.612716
 0.998,  0.612433
 0.999,  0.612151
 1.000,  0.611868
 1.001,  0.611586
 1.002,  0.611303
 1.003,  0.611021
 1.004,  0.610739
 1.005,  0.610457
 1.006,  0.610176
 1.007,  0.609894
 1.008,  0.609613
 1.009,  0.609332
 1.010,  0.609051
 1.011,  0.608770
 1.012,  0.608490
 1.013,  0.608209
